('209', '8.057231774354007', 'Dead Poets Society', '1989', 'Peter Weir (dir.), Robin Williams, Robert Sean Leonard')
('210', '8.056254326618369', 'Network', '1976', 'Sidney Lumet (dir.), Faye Dunaway, William Holden')
('211', '8.055725006043117', 'Stand by Me', '1986', 'Rob Reiner (dir.), Wil Wheaton, River Phoenix')
('212', '8.05470977178794', 'Harry Potter and the Deathly Hallows: Part 2', '2011', 'David Yates (dir.), Daniel Radcliffe, Emma Watson')
('213', '8.053806884913659', 'Ben-Hur', '1959', 'William Wyler (dir.), Charlton Heston, Jack Hawkins')
('214', '8.052482553746982', "Hachi: A Dog's Tale", '2009', 'Lasse Hallström (dir.), Richard Gere, Joan Allen')
('215', '8.052052354385848', 'Cool Hand Luke', '1967', 'Stuart Rosenberg (dir.), Paul Newman, George Kennedy')
('216', '8.050045284346478', 'Ah-ga-ssi', '2016', 'Chan-wook Park (dir.), Kim Min-hee, Jung-woo Ha')
('217', '8.049846262372723', 'Platoon', '1986', 'Oliver Stone (dir.), Charlie Sheen, Tom Berenger')
('218', '8.049735845326499', 'Logan', '2017', 'James Mangold (dir.), Hugh Jackman, Patrick Stewart')
('219', '8.048698867694629', 'Into the Wild', '2007', 'Sean Penn (dir.), Emile Hirsch, Vince Vaughn')
('220', '8.047437396117079', 'Rush', '2013', 'Ron Howard (dir.), Daniel Brühl, Chris Hemsworth')
('221', '8.04721322159585', 'Le salaire de la peur', '1953', 'Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel')
('222', '8.045530087590851', 'Life of Brian', '1979', 'Terry Jones (dir.), Graham Chapman, John Cleese')
('223', '8.043305052894487', 'La haine', '1995', 'Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé')
('224', '8.042769501396556', 'Les quatre cents coups', '1959', 'François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy')
('225', '8.04254207483156', 'Spotlight', '2015', 'Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton')
('226', '8.04222376757282', "La passion de Jeanne d'Arc", '1928', 'Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain')
('227', '8.040831029023801', 'Hotel Rwanda', '2004', 'Terry George (dir.), Don Cheadle, Sophie Okonedo')
('228', '8.038071072871276', 'Amores perros', '2000', 'Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal')
('229', '8.038037523876861', 'Dom za vesanje', '1988', 'Emir Kusturica (dir.), Davor Dujmovic, Bora Todorovic')
('230', '8.036451216887881', 'Gangs of Wasseypur', '2012', 'Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha')
('231', '8.035400043388057', 'Rocky', '1976', 'John G. Avildsen (dir.), Sylvester Stallone, Talia Shire')
('232', '8.035015606195765', 'Monsters, Inc', '2001', 'Pete Docter (dir.), Billy Crystal, John Goodman')
